GAME_ID,Year,Total_Points,Over/Under,Winner,Home/Away
21000352,2010,183,Under,OKC,Away
21000985,2010,170,Under,OKC,Home
21100588,2011,186,Under,CLE,Away
21200093,2012,197,Under,OKC,Away
21200698,2012,225,Under,CLE,Home
21300858,2013,218,Under,CLE,Away
21301018,2013,197,Under,OKC,Home
21400326,2014,197,Under,OKC,Away
21400658,2014,206,Under,CLE,Home
21500384,2015,204,Under,CLE,Home
21500824,2015,207,Under,CLE,Away
21600712,2016,198,Under,CLE,Home
21600796,2016,227,Under,OKC,Away
21700674,2017,272,Over,OKC,Home
21700850,2017,232,Under,CLE,Away
21800153,2018,181,Under,OKC,Home
21800313,2018,183,Under,OKC,Away
21900527,2019,227,Under,OKC,Home
21900760,2019,212,Under,OKC,Away
22000466,2020,218,Under,OKC,Home
22000785,2020,231,Under,CLE,Away
22100646,2021,209,Under,CLE,Away
22100695,2021,181,Under,CLE,Home
22200390,2022,212,Under,CLE,Home
22200739,2022,212,Under,OKC,Away
22300081,2023,213,Under,OKC,Home
22300167,2023,248,Over,OKC,Away
